Имя команды,Внутреннее имя,Описание,Подпункт,Размер в ленте,RibbonSplitButton
Расставить отверстия,Nervana_OpeningsPlacer,Расставляет отверстия в стенах и в перекрытиях по файлу,Утилиты,LargeWithText,
Концептуальный рельеф,Nervana_MakeElevationConceptual,Создает рельеф в виде набора перекрытий по контурам горизонталей,Утилиты,LargeWithText,
Обозреватель конструктивных сборок,Nervana_AssemblyRefsExplorer,Палитра со всеми конструктивными сборками в модели,Утилиты,SmallWithoutText,
Авто-контур,Nervana_Room_CreateByAutoContour,Автоматически определяет контур для выбранной точки и строит помещение,Помещения,LargeWithText,
Расставить в помещениях,Nervana_Room_CopyObjectsTo,Копирование выбранных объектов в каждое из заданных помещений,Помещения,LargeWithText,
Перекрытия по помещениям,Nervana_Room_ToFloors,Создает перекрытие по контуру помещения,Помещения,SmallWithoutText,
Помещения по перекрытиям,Nervana_Room_CreateByFloors,Создает помещение по внешнему контуру перекрытия,Помещения,SmallWithoutText,
Помещения по контурам,Nervana_Room_CreateByPlines,Создает помещения по замкнутым контурам (полилиниям),Помещения,SmallWithoutText,
Связать стены с помещением,Nervana_Room_LinkWalls,Связывает стены с помещениями на зданном удалении от контура помещения,Помещения,LargeWithText,
Связать объекты с помещением,Nervana_Room_LinkObjects,Связывает элементы с помещениями по условию их попадания в помещение,Помещения,LargeWithText,
Построить тени от Солнца,Nervana_Analytic_ShadowsBySunCreator,Рассчитывает затенение от объектов модели от заданного положения Солнца,Аналитика,LargeWithText,
